train_loss,train_acc,val_loss,val_acc
0.6007649885992703,0.6481835564053537,0.8124031931900781,0.39669421487603307
0.5324300995976246,0.7361376673040153,1.0019202527921063,0.5041322314049587
0.47132918443780103,0.7571701720841301,0.9959910502118513,0.5537190082644629
0.4666223956795541,0.780114722753346,0.6710426876367617,0.7768595041322314
0.42798003258030454,0.8068833652007649,0.3097338159222248,0.8925619834710744
0.4047205115937366,0.7915869980879541,0.6965277574279092,0.7355371900826446
0.4022779986689697,0.8260038240917782,0.2597591177491117,0.8677685950413223
0.3644359961408502,0.8240917782026769,0.35236431645952965,0.859504132231405
0.3447142995566301,0.8336520076481836,2.05093774519676,0.6446280991735537
0.3619563700364151,0.8527724665391969,0.9472812020089015,0.7520661157024794
0.3188890574311207,0.8508604206500956,0.3332594349857204,0.8099173553719008
0.3701261589107732,0.8413001912045889,0.5920154521287966,0.859504132231405
0.29685113665934504,0.8718929254302104,0.24763820092540142,0.8677685950413223
0.2970163348072118,0.8718929254302104,0.28550106114592433,0.8760330578512396
0.27296004554053793,0.8718929254302104,0.2265199930214685,0.9256198347107438
0.2639449105151069,0.8967495219885278,0.6091803834458028,0.8016528925619835
0.2541306061566902,0.8833652007648184,0.23955603990673033,0.9090909090909091
0.21607218127177732,0.9177820267686424,0.30365094419353267,0.859504132231405
0.22695968840021932,0.9177820267686424,0.24541302530233525,0.9256198347107438
0.21562067979152527,0.9024856596558317,0.2636553674689994,0.9256198347107438
0.20744078667624274,0.9158699808795411,0.2439899759844315,0.9090909090909091
0.2047907265319879,0.9235181644359465,0.1965546107981816,0.9338842975206612
0.1947398452982164,0.9196940726577438,0.23055620774749883,0.9338842975206612
0.21901617069545257,0.9139579349904398,0.19810683618892322,0.9421487603305785
0.19947654208307283,0.9292543021032504,0.22716551132438598,0.9008264462809917
0.18335520608589254,0.9196940726577438,0.19079605902522062,0.9338842975206612
0.1776980566818901,0.9235181644359465,0.21142221186771865,0.9173553719008265
0.18772211521294102,0.9311663479923518,0.197374746819173,0.9338842975206612
0.1667705909927762,0.9407265774378585,0.17129988660497114,0.9338842975206612
0.18563550653694694,0.9349904397705545,0.27549495431017285,0.8842975206611571
0.15608121440469877,0.9445506692160612,0.21338296675485027,0.9752066115702479
0.18542919919094208,0.9177820267686424,0.17630330023686747,0.9338842975206612
0.1763859160999495,0.9273422562141491,0.2253846331568789,0.9090909090909091
0.16960947477680774,0.9330783938814532,0.20893530042703487,0.9173553719008265
0.14104017196490248,0.9483747609942639,0.21581554462101835,0.9090909090909091
0.16750750934302694,0.9388145315487572,0.17972699177166648,0.9586776859504132
0.1407668780300403,0.9426386233269598,0.18661602149324968,0.9504132231404959
0.16825426918370773,0.9292543021032504,0.20257096620630627,0.9421487603305785
0.143777764322197,0.9483747609942639,0.20513416789779979,0.9256198347107438
0.13619577480091877,0.9464627151051626,0.19917356524585692,0.9256198347107438
0.12667934080838703,0.9560229445506692,0.1840213677607292,0.9421487603305785
0.12241310707469744,0.9464627151051626,0.1869702575620541,0.9338842975206612
0.10754594825079974,0.9655831739961759,0.1819651198288626,0.9421487603305785
0.11240590677149664,0.9674952198852772,0.19973990739869676,0.9256198347107438
0.13675247067247248,0.9483747609942639,0.18682871968292994,0.9256198347107438
0.11831566348073587,0.9579349904397706,0.17530342000575105,0.9586776859504132
0.12530053352107282,0.9560229445506692,0.2045545787358087,0.9256198347107438
0.12751264539663013,0.9598470363288719,0.19843057881702075,0.9256198347107438
0.10314760012391876,0.9674952198852772,0.18735493584112686,0.9504132231404959
0.09906204402389764,0.9674952198852772,0.1857489211992784,0.9504132231404959
0.10418358234328932,0.9617590822179732,0.1695677487810781,0.9421487603305785
0.12123139702624162,0.9560229445506692,0.17568543405572246,0.9586776859504132
0.1288472529977959,0.9541108986615678,0.1788069682180389,0.9586776859504132
0.11428592799954387,0.9617590822179732,0.18477855733603485,0.9421487603305785
0.1260247826576233,0.9560229445506692,0.1855518066686047,0.9338842975206612
0.13653692472049428,0.9388145315487572,0.18402299974575514,0.9504132231404959
0.1001783255238378,0.9655831739961759,0.17711341824413332,0.9504132231404959
0.09750705967384816,0.9636711281070746,0.17719265005805276,0.9421487603305785
0.1323507111056585,0.9483747609942639,0.1721663773059845,0.9504132231404959
0.12911548828759567,0.9598470363288719,0.17869060665122732,0.9504132231404959
0.11657107204027888,0.9560229445506692,0.17382177341082863,0.9504132231404959
0.11349719133135465,0.9617590822179732,0.1754448810392175,0.9586776859504132
0.12505499719433757,0.9617590822179732,0.18611260682098135,0.9504132231404959
0.10743656663320261,0.9617590822179732,0.1811298149183762,0.9586776859504132
0.10960174877602558,0.9579349904397706,0.18308272736131653,0.9504132231404959
0.0934854709395487,0.9751434034416826,0.18110487874874398,0.9586776859504132
0.1156270915845384,0.9617590822179732,0.17353614007145907,0.9586776859504132
0.12218593490482745,0.9560229445506692,0.17222997841756205,0.9504132231404959
0.1145899699676789,0.9598470363288719,0.17356972753509017,0.9586776859504132
0.12644328201193197,0.9502868068833652,0.1724312280820421,0.9504132231404959
0.10273834832197849,0.97131931166348,0.17572111802652848,0.9504132231404959
0.11653094261485805,0.9579349904397706,0.17775399675054,0.9504132231404959
0.12313168106981719,0.9521988527724665,0.17564099337443834,0.9504132231404959
0.11670824154556139,0.9617590822179732,0.1758931362924497,0.9504132231404959
0.1156198264991804,0.9579349904397706,0.17516458773415935,0.9504132231404959
